!#Experiment  Id= 1.1:
!Initial Temp=850 C
!Cylinder(25,100)
!Quenchant=Aquatensid BW (5%)
!t	t1	t2	t3	t4
0	848.017526	850.316531	850.388496	848.45737
0.5	847.902862	850.275376	850.385507	848.461047
1	847.787051	850.246637	850.362285	848.477823
1.5	847.623682	850.152143	850.326648	848.431171
2	847.399892	850.099954	850.317221	848.449556
2.5	847.163938	850.020637	850.301127	848.415313
3	846.888024	849.9027	850.281124	848.393022
3.5	846.552863	849.801087	850.240889	848.381991
4	846.181207	849.63465	850.220427	848.309831
4.5	845.758369	849.45121	850.168467	848.255826
5	845.20973	849.185488	850.144096	848.160229
5.5	844.579883	848.950123	850.076274	848.073825
6	843.856468	848.620542	850.008453	847.927678
6.5	842.973891	848.256975	849.905228	847.763384
7	841.971721	847.860352	849.788443	847.523504
7.5	840.686714	847.326371	849.700397	847.314424
8	839.318858	846.63556	849.567986	847.06446
8.5	837.75591	845.837375	849.380181	846.723771
9	836.017792	844.895139	849.110326	846.288934
9.5	834.280849	843.793568	848.841179	845.754694
10	832.500435	842.548393	848.492991	845.062305
10.5	830.784849	841.221455	848.137249	844.241462
11	829.015285	839.751368	847.725701	843.261483
11.5	827.300426	838.27125	847.192197	842.242951
12	825.514032	836.77263	846.556309	841.108583
12.5	823.661449	835.374659	845.839901	839.830949
13	821.834794	833.883482	845.077231	838.430128
13.5	820.033347	832.363757	844.181082	836.848946
14	818.214636	830.880509	843.20433	835.205358
14.5	816.366594	829.537566	842.256949	833.407837
15	814.632658	828.198708	841.226961	831.563929
15.5	812.811231	826.742754	840.099289	829.909355
16	811.06871	825.475862	838.994849	828.077035
16.5	808.475835	824.178729	837.806112	826.323234
17	800.28618	822.827171	836.561335	824.667964
17.5	789.213814	821.49294	835.329069	822.947322
18	776.102658	820.108678	834.098766	821.214818
18.5	762.517647	816.11435	832.934306	819.48941
19	746.275566	807.833664	831.831742	817.711313
19.5	731.987275	799.285146	830.524653	816.01446
20	717.149254	792.021959	828.824737	813.100428
20.5	698.505721	785.067243	826.572884	806.312052
21	670.667343	776.88798	823.756035	796.068225
21.5	614.796346	768.273087	820.45042	785.830838
22	544.316059	760.482206	816.566622	774.969329
22.5	483.132506	754.280856	812.331329	763.154798
23	433.244601	748.294555	807.594668	752.235849
23.5	393.174749	741.469207	802.493318	741.059521
24	356.232064	730.776698	797.152755	729.318821
24.5	325.123307	720.18017	791.60128	716.907193
25	301.660815	710.31812	785.882927	705.152431
25.5	282.26832	700.907488	779.958514	690.587354
26	265.587265	694.495499	773.849163	675.867935
26.5	250.800774	687.122786	767.484097	661.281811
27	237.671727	679.690059	760.922235	647.78566
27.5	225.845989	673.235624	754.270511	631.105165
28	215.187985	664.761705	747.552599	615.818806
28.5	205.898344	657.614417	740.811306	598.421363
29	197.036762	648.032168	734.029178	576.980451
29.5	188.186773	629.925397	727.12938	537.127702
30	180.749919	583.302405	720.032832	488.562218
30.5	173.359271	521.403659	712.525608	443.61221
31	166.307343	454.647472	704.377748	410.882079
31.5	159.825111	405.057856	695.207819	379.890767
32	153.618153	368.81134	684.496135	352.945501
32.5	147.443842	340.343204	671.903564	331.323213
33	141.854792	317.403132	657.287667	312.167619
33.5	137.257079	298.018974	640.543911	295.478128
34	132.481371	281.027315	621.82842	280.710585
34.5	127.916014	266.223437	601.406751	267.614144
35	123.463567	253.227077	579.76891	256.030493
35.5	119.54039	241.306834	557.298674	245.576696
36	115.597102	230.479567	534.450968	236.065581
36.5	111.319066	220.748081	511.650113	227.345161
37	107.37929	212.069609	489.285593	219.442311
37.5	103.832775	204.352534	467.531974	212.177823
38	100.603311	196.996471	446.63328	205.287613
38.5	97.452378	190.380118	426.613504	198.912739
39	94.579672	184.19416	407.548767	192.965352
39.5	91.720574	178.458866	389.442921	187.469919
40	88.923104	172.931799	372.307568	182.198165
40.5	86.336163	167.89018	356.144362	177.163833
41	83.863782	163.141365	340.919825	172.581879
41.5	81.413676	158.282366	326.507883	168.367511
42	79.09716	153.491225	312.925646	164.795747
42.5	77.068896	149.195828	300.146175	161.003549
43	75.178867	145.710512	288.172359	157.735349
43.5	73.41704	142.020722	276.836601	153.853032
