!#Experiment  Id= 1.3:
!Initial Temp=850 C
!Cylinder(25,100)
!Quenchant=Isorapid227HM
!t	TC_1	TC_2	TC_3	TC_4
0	849.138443	851.122546	851.145542	849.537487
0.5	849.027885	851.086212	851.187856	849.511741
1	848.921927	851.035161	851.148072	849.518637
1.5	848.764948	850.999288	851.122086	849.509442
2	848.606827	850.928232	851.184406	849.525303
2.5	848.442506	850.894889	851.121856	849.485305
3	848.119629	850.719901	851.113577	849.488524
3.5	847.852613	850.572512	851.03953	849.414735
4	847.506116	850.466285	851.048728	849.38922
4.5	847.064075	850.335459	851.014005	849.334052
5	846.518481	850.060945	850.962495	849.239349
5.5	846.005802	849.869439	850.886151	849.146947
6	845.29546	849.554268	850.873734	849.032942
6.5	844.509011	849.177058	850.740826	848.857572
7	843.559269	848.741276	850.652989	848.659457
7.5	842.397924	848.195233	850.533654	848.456065
8	841.08801	847.571599	850.411793	848.160533
8.5	839.649159	846.829978	850.283268	847.857439
9	838.04597	845.964	850.078417	847.437877
9.5	836.325606	844.944582	849.832657	846.974018
10	834.553261	843.689653	849.516568	846.277523
10.5	832.758308	842.385073	849.122813	845.482392
11	831.034149	841.002211	848.761041	844.573758
11.5	829.287587	839.588845	848.302781	843.527362
12	827.540602	838.154863	847.704636	842.451623
12.5	825.849883	836.64643	847.008479	841.204094
13	824.040566	835.124793	846.285563	839.898222
13.5	822.329771	833.595461	845.454375	838.563638
14	820.592496	832.13513	844.602229	837.149945
14.5	818.803669	830.778286	843.667616	835.678073
15	817.0546	829.334943	842.810555	834.321693
15.5	815.313088	828.119649	841.634274	832.601245
16	813.505503	826.836569	840.55191	831.165748
16.5	811.668835	825.491707	839.399652	829.482046
17	803.959759	824.072097	838.24473	827.69862
17.5	782.587908	823.072805	837.073165	826.06293
18	751.529061	822.525053	835.885428	824.684491
18.5	712.395066	820.244578	834.758042	823.636849
19	670.285766	804.459197	833.864777	822.572334
19.5	631.787825	782.10206	832.870956	821.307141
20	593.087192	757.561919	831.52532	818.089444
20.5	559.310803	732.125879	829.412268	807.821902
21	530.292056	703.010343	826.168542	792.307573
21.5	501.971671	666.152941	821.624317	779.216137
22	475.004898	625.694419	815.601314	765.833111
22.5	453.102178	586.59223	807.886547	752.359774
23	434.112847	549.956623	798.343695	738.233369
23.5	415.491389	517.386617	787.681573	721.263093
24	396.652575	489.096797	774.828886	694.714121
24.5	377.948258	464.88283	759.163798	658.049154
25	362.181072	443.409098	740.816536	615.984473
25.5	348.345219	424.535357	719.964148	575.252343
