!#Experiment  Id= 2.1:
!Initial Temp=850 C
!Cylinder(50,150)
!Quenchant=Aquatensid BW (5%)
!t	TC_1	TC_2	TC_3	TC_4
0	845.601739	851.040606	850.366884	845.888306
0.5	845.469228	850.992315	850.4085	845.930796
1	845.301586	850.943565	850.365045	845.977421
1.5	845.054039	850.883318	850.385278	845.997862
2	844.822351	850.819392	850.425514	846.071361
2.5	844.496309	850.715228	850.376541	846.072509
3	844.147334	850.637739	850.376771	846.124648
3.5	843.690727	850.484145	850.383438	846.173801
4	843.181608	850.366884	850.395164	846.235818
4.5	842.538755	850.138119	850.429883	846.232143
5	841.853552	849.897642	850.352399	846.298295
5.5	840.905099	849.627755	850.427124	846.320346
6	839.797007	849.300188	850.382978	846.305186
6.5	838.60277	848.912659	850.404131	846.320575
7	837.243155	848.410258	850.375391	846.322413
7.5	835.842508	847.79946	850.395854	846.282216
8	834.421025	847.068366	850.409649	846.254882
8.5	832.97117	846.139175	850.401602	846.130619
9	831.490684	845.104099	850.368953	846.01371
9.5	830.011632	843.940489	850.373552	845.909666
10	828.612238	842.774448	850.40919	845.715135
10.5	827.249435	841.581429	850.417007	845.486855
11	825.802493	840.446321	850.411719	845.187628
11.5	824.460701	839.347294	850.373092	844.807598
12	823.024989	838.227233	850.31998	844.32819
12.5	821.684074	837.033899	850.298598	843.735204
13	820.367779	835.988922	850.247557	842.977966
13.5	819.082701	834.929313	850.258133	841.986121
14	817.774967	833.812946	850.138579	840.760981
14.5	816.463984	832.840202	850.104323	839.294036
15	813.441383	831.871573	849.978796	837.938324
15.5	806.345046	830.966561	849.9027	836.494593
16	794.974435	830.058996	849.781087	835.140928
16.5	776.038483	829.138358	849.589365	833.802125
17	746.679877	828.162115	849.406156	832.449553
17.5	705.527242	825.224449	849.190546	831.133347
18	661.341861	819.328046	849.001838	829.834024
18.5	610.355219	812.618444	848.794293	828.599373
19	559.481138	806.526857	848.618933	827.349075
19.5	513.486821	800.067142	848.375556	826.134351
20	474.53192	794.353327	848.118406	824.74035
20.5	441.898961	789.107065	847.848633	822.590476
21	414.732119	783.199352	847.522126	817.340077
21.5	391.468365	778.150663	847.219767	811.384388
22	371.12633	772.767214	846.865282	805.256104
22.5	353.675391	767.279994	846.490153	798.118948
23	339.244783	761.778097	846.022954	791.28285
23.5	325.251628	757.016163	845.496557	784.940841
24	310.908173	752.611238	844.905013	778.606175
24.5	297.788175	748.011592	844.266258	772.318286
25	285.158063	742.652272	843.438685	766.312994
25.5	274.263949	737.799696	842.609668	760.128626
26	264.634619	734.597004	841.665175	754.39234
26.5	256.139673	731.240753	840.648177	748.625095
27	248.982589	728.180482	839.541071	742.918252
27.5	242.577133	725.649378	838.328336	737.352638
28	236.068807	723.139271	837.010751	730.598774
28.5	229.456723	720.215667	835.651422	721.622257
29	223.173268	716.418199	834.188776	710.521035
29.5	217.136226	713.320733	832.650167	699.928182
30	211.401681	710.001987	831.053986	689.915773
30.5	206.414127	707.271236	829.375133	679.993001
31	202.279654	705.087221	827.63726	671.320528
31.5	197.378179	700.892589	825.800207	662.63986
32	192.656639	696.84473	823.910485	653.292554
32.5	188.779637	694.690062	821.90125	644.637119
33	184.962524	692.428833	819.804854	636.031485
33.5	181.550577	687.832998	817.653136	628.812766
34	178.999615	679.715087	815.319171	621.456121
34.5	175.87107	655.635648	812.875268	612.733315
35	172.28529	612.281499	810.257842	602.149999
35.5	167.934609	572.887136	807.467209	588.682653
36	164.116387	539.272349	804.507797	572.165198
36.5	160.712848	490.129053	801.316311	552.678239
37	157.745092	444.079059	797.917334	530.168431
37.5	154.763788	405.17002	794.260521	507.313033
38	151.831535	375.584147	790.293464	482.156496
38.5	148.884628	352.836212	786.103745	455.774348
39	145.989648	333.309368	781.582934	427.662868
39.5	143.381388	316.746089	776.790797	400.453708
40	141.261703	302.561506	771.678304	378.95114
40.5	139.181736	290.401785	766.280807	362.340225
41	136.827187	279.916444	760.599303	349.344178
41.5	134.772404	270.612423	754.660012	338.543505
42	132.690989	262.182858	748.42414	328.89118
42.5	130.77438	254.603155	741.977832	320.10265
43	128.79597	247.802609	735.32435	311.902769
43.5	126.955111	241.61436	728.427807	304.158005
44	125.334531	235.958469	721.351892	296.676138
44.5	123.727561	230.862283	714.0433	289.759585
45	121.96981	226.234672	706.547207	282.935197
45.5	119.895989	222.003984	698.922276	276.139273
46	118.157628	218.018238	691.157309	269.600866
46.5	116.772571	214.294805	683.282803	263.461826
47	115.185628	210.819125	675.342967	257.680592
47.5	113.485583	207.545721	667.28182	252.040271
48	111.979597	204.443259	659.193262	246.629544
48.5	110.421907	201.501634	651.065276	241.499388
49	108.85064	198.681993	642.930316	236.801602
49.5	107.526689	196.089062	634.794022	232.401066
50	106.586433	193.594172	626.670299	228.083643
50.5	105.287802	191.270026	618.575581	223.957955
51	104.008784	189.040409	610.514576	220.086634
51.5	102.786983	186.849308	602.52698	216.390081
52	101.414252	184.714325	594.546848	212.833256
52.5	100.098969	182.745099	586.58166	209.446897
53	98.883995	180.863165	578.6432	206.373609
53.5	97.810534	179.114244	570.854859	203.530539
54	96.87252	177.290325	563.188019	200.825644
54.5	96.038749	175.557109	555.635321	198.246036
55	94.985709	173.898307	548.20146	195.666478
55.5	93.938957	172.185188	540.865826	193.107184
56	92.817412	170.540268	533.628592	190.541314
56.5	91.811923	169.102673	526.500239	188.062036
57	90.923019	167.677352	519.485617	185.887213
57.5	90.228645	166.206662	512.606489	183.848262
58	89.349628	164.799234	505.801714	181.855319
58.5	88.322656	163.74294	499.125514	179.910565
59	87.310336	162.532687	492.563542	177.93416
59.5	86.275888	161.183509	486.077826	175.768298
60	85.27912	159.710215	479.698095	173.68915
60.5	84.387848	157.993071	473.414425	171.596891
61	83.629763	156.776568	467.234824	169.596119
61.5	82.829696	155.757366	461.102759	167.734513
62	82.12713	154.575866	455.087298	165.852959
62.5	81.391291	153.453704	449.175657	164.123534
63	80.61569	151.925281	443.382944	162.587686
63.5	79.90261	150.423684	437.715317	161.193901
64	79.060012	149.177562	432.144385	159.843159
64.5	78.198683	147.523093	426.631951	158.073049
65	77.43989	146.554954	421.207758	156.307902
65.5	76.787188	145.608702	415.870993	155.077503
66	76.136739	144.409501	410.558453	153.916216
66.5	75.337729	143.304824	405.295624	152.541486
67	74.598014	142.335796	400.163752	151.136477
67.5	74.080701	140.938272	395.093004	149.649929
68	73.617528	139.633328	390.122709	148.46084
68.5	73.067302	138.545264	385.296762	147.039261
69	72.572106	137.44217	380.576443	145.468289
69.5	72.04713	136.599406	375.95168	144.030389
70	71.613661	136.062814	371.450903	142.474967
70.5	71.258054	135.02867	367.014349	141.258651
71	70.696532	134.112155	362.638642	140.024642
71.5	70.102963	133.355776	358.322366	138.935442
72	69.51248	132.083533	354.073177	137.507187
72.5	68.893513	130.726726	349.894056	136.27255
73	68.167905	129.231306	345.763948	135.019198
73.5	67.480041	128.065159	341.652598	133.431894
74	66.888382	127.238388	337.662352	131.907401
74.5	66.317027	125.82178	333.724918	130.683827
75	65.824672	124.141317	329.814171	129.528172
75.5	65.286325	122.851312	325.957669	128.163701
