!#Experiment  Id= 2.2:
!Initial Temp=850 C
!Cylinder(50,150)
!Quenchant=H2O
!t	t1	t2	t3	t4
0	849.681272	851.062585	850.490256	850.000726
0.5	844.537999	851.028781	850.493705	846.969253
1	844.477155	850.952896	850.514398	847.000267
1.5	844.206928	850.966463	850.47646	847.042079
2	843.97322	850.836311	850.518077	847.082743
2.5	843.729884	850.774456	850.487497	847.095378
3	843.414256	850.664315	850.487037	847.134664
3.5	843.068126	850.582918	850.484738	847.189343
4	842.664191	850.466344	850.481979	847.158328
4.5	842.189846	850.261484	850.580388	847.204047
5	841.511124	850.102846	850.565673	847.184289
5.5	840.902249	849.795473	850.592345	847.154882
6	839.9125	849.537545	850.412541	847.190492
6.5	838.977785	849.242166	850.448179	847.172112
7	837.679939	848.739036	850.453238	847.081134
7.5	836.437721	848.270207	850.485198	847.014281
8	835.079493	847.706533	850.506121	846.950644
8.5	833.752847	846.926752	850.506351	846.875752
9	832.35954	846.057769	850.497844	846.794199
9.5	831.003082	845.019039	850.525435	846.646489
10	829.576592	843.891953	850.444731	846.509581
10.5	828.170252	842.755073	850.480829	846.271839
11	826.789071	841.551275	850.455537	846.02768
11.5	825.479194	840.274654	850.438523	845.620933
12	824.15487	839.161455	850.371615	845.220197
12.5	822.878241	837.929344	850.427946	844.738674
13	821.529151	836.900187	850.362188	844.137825
13.5	820.254224	835.871968	850.276429	843.453508
14	819.003641	834.860265	850.291373	842.567803
14.5	817.721027	833.895295	850.155265	841.644887
15	816.449975	832.91635	850.067441	840.582476
15.5	814.041898	831.909247	850.130205	839.40659
16	803.354019	831.01544	849.755473	838.083166
16.5	784.936272	830.074001	849.69938	836.619676
17	758.903852	829.167085	849.488582	835.207094
17.5	725.144654	828.137089	849.340547	833.817887
18	676.24013	825.513936	849.150684	832.463707
18.5	617.853687	809.343652	848.968873	831.189609
19	559.357829	797.413105	848.856481	829.88798
19.5	507.568805	784.231241	848.708469	828.673443
20	464.264253	771.837137	848.497491	827.420836
20.5	428.714071	759.547021	848.292958	826.167686
21	399.329274	743.98789	848.106819	824.830121
21.5	374.673547	729.758705	847.873582	822.197591
22	353.504049	714.456149	847.577172	816.002049
22.5	334.3335	700.551605	847.213007	808.057782
23	317.385825	683.459572	846.869779	797.096349
23.5	303.647175	664.07532	846.374744	781.237364
24	291.233563	649.307722	845.781469	754.883917
24.5	279.634089	634.323649	845.028683	714.866228
25	268.005173	601.667268	844.189021	673.721362
25.5	257.767742	545.154018	843.169575	636.031226
26	248.654385	478.985305	841.988146	600.629248
26.5	240.96308	423.784315	840.657944	563.890798
27	232.542658	383.261713	839.089683	526.543655
