!#Experiment  Id= 2.3:
!Initial Temp=850 C
!Cylinder(50,150)
!Quenchant=Isorapid227HM
!time	t1	t2	t3	t4
0	845.625164	851.342551	850.733394	846.186565
0.5	845.452234	851.318634	850.762826	846.180593
1	845.19733	851.240674	850.752939	846.239394
1.5	844.961959	851.171224	850.765815	846.306465
2	844.590675	851.01853	850.773404	846.356769
2.5	844.223555	850.909302	850.785131	846.395818
3	843.759594	850.775703	850.756848	846.397426
3.5	843.123768	850.581405	850.743741	846.439691
4	842.480235	850.381139	850.811344	846.474377
4.5	841.69615	850.126394	850.824911	846.475755
5	840.709195	849.741317	850.78927	846.453703
5.5	839.519743	849.370297	850.758917	846.462203
6	838.251305	848.97012	850.757767	846.407763
6.5	836.876449	848.391873	850.799387	846.402709
7	835.51533	847.708928	850.82836	846.370321
7.5	834.134266	846.871714	850.841697	846.246285
8	832.691379	845.899387	850.784441	846.203562
8.5	831.360677	844.831994	850.74673	846.02854
9	829.839571	843.671215	850.755238	845.87236
9.5	828.612696	842.427224	850.778922	845.627305
10	827.153399	841.345802	850.82767	845.302579
10.5	825.789464	840.146767	850.780302	844.932182
11	824.459101	838.9295	850.752019	844.409366
11.5	823.085981	837.762787	850.695913	843.864347
12	821.749842	836.402986	850.625783	842.974195
12.5	820.634202	835.513268	850.63521	841.733623
13	819.429611	834.46065	850.579106	840.330103
13.5	818.222851	833.582563	850.450346	838.931179
14	815.596452	832.992235	850.352169	837.573521
14.5	805.738458	832.593387	850.197896	835.991974
15	779.999678	831.952608	850.098345	834.516842
15.5	738.095705	831.52868	849.955116	833.284944
16	695.947786	831.025378	849.766145	832.041272
16.5	659.060186	827.179008	849.571434	830.656539
17	627.64901	806.36689	849.463394	829.124477
17.5	601.770511	774.283507	849.367309	827.917934
18	580.19066	732.857248	849.290994	826.872236
18.5	561.621949	689.090407	849.187098	826.019497
19	545.041381	652.024757	849.071712	825.191154
19.5	530.1663	622.315921	848.963225	819.659985
20	517.412801	597.654455	848.767862	792.330027
20.5	506.856638	576.590254	848.536427	745.405851
21	496.486169	558.244837	848.235144	698.646715
21.5	485.802663	541.945365	847.747071	660.425803
22	475.724902	527.720382	847.054352	629.47945
22.5	466.739717	515.948362	846.130906	604.037526
23	458.912505	506.486247	844.898584	582.853312
23.5	451.788192	498.534089	843.370053	564.827195
24	445.273062	491.425699	841.516498	549.457667
24.5	439.160195	485.162178	839.171871	536.190107
25	433.810011	479.369987	836.381904	524.405879
25.5	428.403945	474.135853	833.147709	513.913677
26	423.641604	469.300831	829.511028	504.514264
26.5	419.146759	464.631146	825.544204	496.021675
27	414.610453	460.522191	821.210709	487.996454
27.5	410.375718	457.043433	816.563885	480.662962
28	406.160675	453.665066	811.649624	474.005433
28.5	401.930064	450.208666	806.468376	467.90255
29	398.315287	446.938528	801.01995	461.778216
29.5	394.301845	443.610238	795.402022	455.920784
30	390.476601	440.631613	789.602757	450.603521
30.5	387.139887	437.557856	783.619904	445.71976
31	383.867297	434.794617	777.559965	441.112903
31.5	380.377983	432.093694	771.382134	436.594464
32	376.614297	429.419518	765.115484	432.304429
32.5	373.26136	426.838377	758.836191	428.398966
33	370.316493	424.745728	752.492774	424.61356
33.5	367.424237	422.75901	746.143124	421.051122
34	364.305688	420.696746	739.79661	417.341809
34.5	360.689189	418.187693	733.425156	414.037585
35	357.337231	415.806103	727.124239	411.192771
35.5	354.22731	413.610195	720.830075	408.055661
36	350.640046	411.593996	714.568627	404.635033
36.5	347.112922	409.56633	708.309818	401.652544
37	343.872426	407.816391	702.119362	398.709363
37.5	341.29568	406.029802	695.987331	395.930258
38	339.162199	404.149666	689.932027	393.125802
38.5	336.678131	402.289436	683.940194	390.059819
39	333.466902	400.550136	678.024986	387.346386
39.5	330.494396	398.896579	672.177826	385.189607
40	327.697578	396.860597	666.400783	383.160147
40.5	325.004133	394.598762	660.762807	381.09819
41	322.470433	392.477192	655.188803	378.81273
41.5	319.199828	390.238245	649.684609	376.013522
42	315.55828	388.013735	644.214656	373.971263
42.5	312.377787	385.861605	638.871749	372.402892
43	309.448305	383.636873	633.557599	370.399436
43.5	307.014161	381.665543	628.317223	368.51841
44	304.907173	379.892095	623.139757	366.361297
44.5	302.759433	378.253841	618.047936	363.649058
45	300.408245	376.49608	612.980471	361.241072
45.5	298.452436	375.219029	608.007047	358.926813
46	296.454964	374.065092	603.092944	357.122632
46.5	294.499634	372.644268	598.266357	355.123907
47	292.56128	371.303573	593.504231	353.1215
47.5	290.24498	370.08427	588.783557	351.458458
48	287.606836	368.340581	584.125105	349.657447
48.5	285.521208	366.442814	579.482502	347.936207
49	283.828978	364.294377	574.899704	346.332815
49.5	281.899086	362.379323	570.444665	344.782632
50	280.186009	360.255165	566.031703	343.153774
50.5	278.724774	358.74519	561.722449	341.570117
51	277.259989	357.22135	557.510364	340.100683
51.5	275.606109	355.188678	553.31815	338.131542
52	274.144042	353.28158	549.224939	335.961088
52.5	272.69109	351.242646	545.197586	334.279752
53	271.199376	349.532032	541.208634	332.730961
53.5	269.233452	348.023053	537.303606	330.673483
54	267.488907	346.574433	533.397587	328.085753
54.5	266.104041	344.945135	529.571739	326.518441
55	264.66261	343.197972	525.828584	325.687966
55.5	263.201169	341.04667	522.113145	324.535514
56	261.74793	338.803133	518.431864	322.938056
56.5	260.064184	337.12016	514.809142	321.307006
57	258.220626	335.929612	511.209215	320.186778
57.5	256.473345	334.74595	507.658692	319.100686
58	254.434247	333.542659	504.161223	317.893407
58.5	252.571329	332.450764	500.707757	316.614919
59	251.0345	331.298025	497.36291	315.083314
59.5	249.344095	329.679944	494.019277	313.542866
