!#Experiment  Id= 3.2:
!Initial Temp=850 C
!Cylinder(75,220)
!Quenchant= H2O
!t	t1	t2	t3	t4
0	849.625837	851.299214	850.867119	849.002314
0.5	837.419771	851.25644	850.856081	838.988786
1	837.296687	851.269318	850.878616	838.984429
1.5	837.088116	851.262879	850.855392	839.042441
2	836.851137	851.201477	850.847343	839.013779
2.5	836.583004	851.193198	850.848033	839.099767
3	836.252331	851.11708	850.853092	839.158927
3.5	835.861653	851.027626	850.851712	839.225427
4	835.421753	851.00762	850.81791	839.300641
4.5	834.880189	850.926906	850.857231	839.403833
5	834.243643	850.789627	850.853782	839.457494
5.5	833.456053	850.656262	850.871948	839.586834
6	832.446761	850.500368	850.873558	839.661826
6.5	831.361491	850.285161	850.917708	839.701959
7	830.082919	850.075482	850.856081	839.818463
7.5	828.869927	849.857768	850.903221	839.858828
8	827.562151	849.497312	850.920237	839.94231
8.5	826.266438	849.121257	850.828258	840.001253
9	824.953752	848.571488	850.898852	840.017996
9.5	823.55694	847.976062	850.77606	840.021895
10	822.205579	847.132362	850.897012	840.027628
10.5	820.87063	846.143896	850.911499	840.03405
11	819.75522	845.14533	850.919318	839.932448
11.5	818.403696	843.993188	850.996582	839.903779
12	817.201789	842.939822	850.942083	839.762275
12.5	816.017324	841.83211	850.932655	839.551059
13	814.762053	840.738684	850.931045	839.297201
13.5	813.642996	839.684988	850.998421	839.030059
14	812.558411	838.594184	850.966688	838.615278
14.5	811.340604	837.552028	851.016588	838.12924
15	808.274035	836.567879	850.982095	837.498162
15.5	801.040985	835.627721	850.977266	836.721652
16	788.449302	834.725568	850.943922	835.768857
16.5	768.399987	833.805515	850.95335	834.655474
17	743.31841	832.933975	850.935874	833.269426
17.5	707.746088	832.073374	850.933345	831.68995
18	656.379995	831.21066	850.925986	830.128682
18.5	605.70383	830.381989	850.987384	828.53757
19	552.8842	829.453044	850.95427	827.079213
19.5	502.350438	822.737072	851.085346	825.608787
20	458.711356	803.708523	851.18147	824.261115
20.5	422.35218	784.487289	851.095464	822.884404
21	392.193985	765.429849	851.18285	821.599479
21.5	367.524113	746.203184	851.218955	820.342338
22	346.834691	728.229802	851.372116	819.002723
22.5	329.338241	711.99884	851.372346	817.780341
23	314.508506	699.037546	851.416961	816.547589
23.5	301.677326	684.97821	851.445709	815.264117
24	290.268987	672.371045	851.496535	812.423057
24.5	280.17415	660.430048	851.469857	804.890732
25	271.137318	642.524978	851.480666	793.05933
25.5	262.885669	622.534451	851.535402	776.433619
26	255.224181	599.882545	851.498605	755.006037
26.5	247.604448	568.138468	851.546211	731.899673
27	239.889265	514.248797	851.533562	705.732366
27.5	232.742401	456.086201	851.466407	672.242092
28	225.994337	409.07121	851.42915	632.620212
28.5	219.904711	373.950054	851.339689	589.692234
29	214.138042	347.444744	851.217805	549.539639
29.5	208.691802	326.739364	851.053841	514.061239
30	203.100978	310.495407	850.843204	480.640689
30.5	197.609094	297.468255	850.570266	449.126701
31	192.432393	286.813954	850.266767	420.548282
31.5	188.211839	277.824899	849.912023	395.383163
32	184.081495	270.082671	849.489727	373.325714
32.5	180.173114	263.412828	848.98128	353.541137
33	176.759343	257.560027	848.45405	335.70701
33.5	173.093974	252.397367	847.82854	319.470544
34	168.888059	247.688121	847.131902	304.624941
34.5	165.173375	243.4657	846.279874	291.265539
35	161.930511	239.616943	845.354991	279.201362
35.5	159.205778	236.029315	844.343986	268.23604
36	156.727537	232.652447	843.189768	258.398055
36.5	154.439522	229.568621	841.9629	249.443409
37	151.982353	226.683996	840.575819	241.390857
37.5	149.364753	223.961611	839.054136	234.129599
38	146.947277	221.424974	837.418855	227.516539
38.5	144.662292	219.029004	835.66415	221.548175
39	142.184489	216.73956	833.76269	216.049985
39.5	140.120609	214.584563	831.73161	210.986968
40	138.500989	212.548551	829.556682	206.365192
40.5	136.72158	210.627373	827.267854	202.156443
41	134.933038	208.722481	824.827602	198.222471
41.5	133.218475	206.984621	822.281176	194.49705
42	131.657027	205.318211	819.588596	191.053916
42.5	130.413238	203.743143	816.790964	187.746445
43	128.874825	202.213925	813.876859	184.620303
43.5	127.393319	200.791614	810.862689	181.653005
44	125.841326	199.451868	807.73728	179.014422
44.5	124.434077	198.132587	804.524299	176.608634
45	122.798754	196.977271	801.185981	174.34809
45.5	121.168177	195.933134	797.819808	172.266097
46	119.806412	194.877929	794.324635	170.124762
46.5	118.521028	193.754821	790.781481	167.806805
47	117.126813	192.777458	787.158061	165.683425
47.5	116.150558	191.808645	783.473352	163.911081
48	115.242292	190.906647	779.75464	162.289141
48.5	114.084427	189.930035	775.952516	160.670256
49	112.683127	188.93334	772.103079	159.097634
49.5	111.281584	187.944535	768.176668	157.700916
50	110.078102	186.999755	764.23387	156.292091
50.5	109.173192	186.052401	760.245895	154.982209
51	108.385442	185.183119	756.204072	153.694488
51.5	107.548744	184.411724	752.164496	152.495366
52	106.939098	183.51403	748.070104	151.193589
52.5	106.428163	182.659703	743.975993	149.900122
53	106.073007	181.864128	739.830135	148.651961
53.5	105.620349	181.086759	735.71753	147.229109
54	105.114512	180.360685	731.543187	145.933207
54.5	104.208403	179.582455	727.364032	144.835136
55	103.296852	178.768391	723.163966	143.955371
55.5	102.368359	177.928523	718.995019	143.150449
56	101.456071	177.242233	714.795755	142.363815
56.5	100.739059	176.437663	710.587832	141.658588
57	99.88987	175.658319	706.398397	140.88427
57.5	99.050699	175.023206	702.18755	139.900271
58	98.424516	174.331091	697.980198	138.907323
58.5	97.819884	173.709129	693.783177	137.930747
59	97.174477	173.049504	689.594643	137.116964
59.5	96.477084	172.312889	685.391472	136.249066
60	95.956592	171.551688	681.211093	135.342518
60.5	95.387216	170.902533	677.060708	134.396005
61	94.793031	170.309769	672.909892	133.545198
61.5	94.353551	169.608405	668.755058	132.853964
62	93.923133	168.933892	664.596819	132.15703
62.5	93.476617	168.412771	660.49936	131.579551
63	92.985941	167.783313	656.397201	131.170453
63.5	92.501641	167.043006	652.287644	130.727311
64	91.955475	166.287708	648.247084	130.06624
64.5	91.287783	165.636463	644.184615	129.401064
65	90.589734	165.00159	640.153019	128.638881
65.5	89.875024	164.496971	636.115885	127.803833
66	89.114731	164.154165	632.139965	127.023595
66.5	88.381296	163.67266	628.171924	126.458758
67	87.639948	162.849456	624.197184	126.059527
67.5	86.884859	162.183685	620.259566	125.749028
68	86.302453	161.526399	616.342706	125.321639
68.5	85.839547	161.021093	612.465786	124.78544
69	85.547849	160.554866	608.552627	124.174083
69.5	85.35205	160.235417	604.686213	123.608806
70	85.182022	159.744	600.843628	123.039608
70.5	85.001025	159.128963	597.045554	122.441185
71	84.589104	158.619384	593.23277	121.775729
71.5	83.960877	157.913631	589.481552	121.029423
72	83.468879	157.252106	585.734014	120.313502
72.5	83.228607	156.360487	582.018704	119.68302
73	82.804296	155.658979	578.328511	119.061646
73.5	82.224865	155.28071	574.635348	118.429805
74	81.680189	154.52919	570.992005	117.792056
74.5	81.253525	154.042886	567.366896	117.09999
75	80.871877	153.610638	563.796624	116.415019
75.5	80.44347	153.361421	560.211166	115.98654
76	80.096329	152.792663	556.666788	115.770977
76.5	79.859091	152.387939	553.1529	115.442574
77	79.509736	151.924946	549.678141	115.059742
77.5	79.025673	151.632146	546.202216	114.64953
78	78.555281	151.136432	542.779864	114.194256
78.5	78.103033	150.477483	539.381501	113.750445
79	77.736053	150.039823	535.983216	113.312643
79.5	77.408464	149.348566	532.626216	112.844793
80	77.101018	148.812164	529.271293	112.420366
80.5	76.671855	148.430052	525.962951	111.899268
81	76.181166	148.083362	522.668099	111.280678
81.5	75.616868	147.7358	519.393208	110.54273
82	75.219267	147.248746	516.156139	109.666332
82.5	74.947188	146.505196	512.961423	108.846241
83	74.685625	145.792369	509.781855	108.083961
83.5	74.334784	144.952834	506.651524	107.368113
84	73.871167	144.147998	503.568859	106.848923
84.5	73.392775	143.371599	500.50182	106.592885
85	73.049972	142.902116	497.489901	106.365576
85.5	72.77228	142.827644	494.464467	106.251254
86	72.441324	142.505581	491.464927	106.033475
86.5	72.058219	141.601212	488.469642	105.775515
87	71.811164	141.065325	485.516892	105.649484
87.5	71.703971	140.394398	482.55954	105.615381
88	71.558285	139.613659	479.586368	105.51872
88.5	71.240051	138.974286	476.609925	105.237798
89	70.988276	138.285432	473.677941	104.738157
89.5	70.741194	137.413786	470.764959	104.218785
90	70.465232	136.709628	467.862528	103.520865
90.5	70.098163	136.295484	465.038797	102.689911
91	69.701305	135.729803	462.21319	101.901231
91.5	69.321884	135.015708	459.433427	101.292907
92	68.996392	134.365243	456.68852	100.833234
92.5	68.653196	133.87588	453.939433	100.46647
93	68.309307	133.49357	451.222898	100.042789
93.5	68.114517	133.471543	448.509712	99.591495
94	67.926885	133.310475	445.787965	99.161459
94.5	67.73611	132.925071	443.091325	98.57328
95	67.614969	132.847542	440.371056	97.892107
95.5	67.483525	132.365005	437.741755	97.306738
96	67.414778	131.827576	435.096372	96.883665
96.5	67.291165	131.272203	432.516675	96.513736
