Id,Loc,AEMax,AEAvg,AEMin,REMax,REAvg,REMin
NS1,Tm1,1.7540042,0.7862502,0.009123639,0.031823523,0.009184548,1.116322243239601E-05
NS1,Tm2,1.9636258,0.52433026,0.024224827,0.02243765,0.0040191426,2.899535724466224E-05
NS1,Tm3,9.213119,3.785645,0.20822936,0.11011827,0.017218443,0.0002451289
NS1,Tm4,2.1117713,0.943443,0.008702762,0.03738399,0.005689614,1.0466700785931747E-05
NS2,Tm1,1.982474,0.8333297,0.01350144,0.02519027,0.006991,1.6646481422118258E-05
NS2,Tm2,1.9126817,0.46838507,0.0061556,0.031710185,0.0033463533,7.305930292694557E-06
NS2,Tm3,50.555973,11.549143,0.07145642,0.14760885,0.032767046,8.566901647865558E-05
NS2,Tm4,1.6469399,0.6063736,0.008559989,0.017131051,0.0032803451,1.0423568765737651E-05
NS3,Tm1,1.9783726,0.64169943,0.012544951,0.02911099,0.0051635443,1.542085662823822E-05
NS3,Tm2,2.1272626,0.6750388,0.008004621,0.034463435,0.0049402956,9.487636890977114E-06
NS3,Tm3,33.643955,6.2309904,0.07322274,0.054308537,0.015575743,0.0006628712
NS3,Tm4,1.9228158,0.6012221,0.010756902,0.03495724,0.004282655,1.276857017222443E-05
NS4,Tm1,2.0676706,0.6812306,0.012087834,0.043439787,0.008086683,1.4666944482929911E-05
NS4,Tm2,2.0581777,0.6364377,0.017857725,0.036480896,0.004934473,2.1489040286518483E-05
NS4,Tm3,21.824142,7.46634,0.490256,0.14300235,0.03392122,0.0005764393
NS4,Tm4,2.036922,0.60347503,0.0007259998,0.038849834,0.004434223,8.541167098136768E-07
NS5,Tm1,4.398261,0.7995515,0.020221772,0.04938478,0.008040618,2.5082798983288383E-05
NS5,Tm2,1.8544233,0.49784642,0.001517388,0.018490987,0.003550784,2.177512328610773E-06
NS5,Tm3,37.68241,8.518176,0.366884,0.1484131,0.035585534,0.00043144202
NS5,Tm4,4.111694,0.7174372,0.0012262228,0.029586283,0.0033523883,1.4633807306860004E-06
NS6,Tm1,4.374836,0.8268937,0.0009772264,0.04564672,0.0064273416,2.3067290807671695E-06
NS6,Tm2,2.01342,0.86161894,0.0022926047,0.027850954,0.003924718,4.344355062971801E-06
NS6,Tm3,22.097813,6.2802978,0.34957656,0.063194126,0.02093139,0.0004943486
NS6,Tm4,3.813435,0.66240376,0.012410824,0.036922067,0.004296232,1.6295050753690905E-05
NS7,Tm1,2.1278355,0.7820868,0.016624035,0.039867006,0.0069281636,2.6155470511080807E-05
NS7,Tm2,1.9556088,0.8085341,9.132784202847688E-05,0.018360345,0.005009981,1.0834443888507723E-07
NS7,Tm3,27.28122,7.739623,0.09421636,0.11131445,0.024625698,0.0001120855
NS7,Tm4,2.1022942,0.7731388,0.006937466,0.014706832,0.003327202,8.539228335439687E-06
NS8,Tm1,34.636467,1.5468551,0.025678333,0.04537603,0.009612605,3.302805496362428E-05
NS8,Tm2,8.851601,0.70097333,0.014821384,0.014066347,0.003919746,2.0110690742180473E-05
NS8,Tm3,21.805094,6.6609926,0.361034,0.09204857,0.020216271,0.00042456554
NS8,Tm4,10.388169,0.77318424,0.0032802294,0.012372585,0.0026791585,5.0979095589702475E-06
NS9,Tm1,12.753716999999938,0.6653484935863171,0.011150966801665163,0.015232933557257654,0.0024796574088754384,1.4101897814125936E-05
NS9,Tm2,2.129410950175725,0.7514189441137682,0.007406413541161783,0.003916193950883883,0.0015357567675807432,8.81915379666941E-06
NS9,Tm3,23.399715209559872,7.982438292993466,0.2794312131223933,0.06490676059777699,0.01730399403694489,0.00033138775358818696
NS9,Tm4,8.47233999887203,0.6969430011806881,0.0021376734810019116,0.010067809296811505,0.0016645524468530458,2.593892886950639E-06
